RK2_Ek	RK2_Ep	RK2_Et	RK4_Ek	RK4_Ep	RK4_Et
124,95	0,04	124,99	122,75	0,22	122,97
122,94	2,09	125,03	120,14	2,87	123,01
118,00	7,09	125,09	114,76	8,36	123,12
110,51	14,65	125,16	107,00	16,27	123,26
101,01	24,24	125,26	97,40	26,05	123,45
90,14	35,22	125,37	86,59	37,07	123,66
78,54	46,95	125,49	75,16	48,72	123,88
66,79	58,83	125,62	63,67	60,44	124,11
55,38	70,39	125,77	52,56	71,76	124,32
44,68	81,23	125,91	42,19	82,34	124,53
34,96	91,10	126,05	32,79	91,92	124,71
26,36	99,82	126,18	24,52	100,35	124,87
18,99	107,32	126,30	17,45	107,56	125,01
12,85	113,56	126,41	11,60	113,52	125,12
7,94	118,56	126,50	6,97	118,24	125,21
4,24	122,33	126,57	3,54	121,74	125,28
1,70	124,91	126,61	1,27	124,06	125,32
0,31	126,33	126,64	0,14	125,21	125,35
0,04	126,61	126,64	0,14	125,21	125,35
0,88	125,74	126,63	1,27	124,05	125,32
2,86	123,73	126,59	3,54	121,74	125,28
5,98	120,54	126,53	6,98	118,24	125,21
10,29	116,15	126,45	11,61	113,52	125,12
15,82	110,53	126,34	17,46	107,56	125,01
22,58	103,65	126,22	24,53	100,34	124,88
30,56	95,52	126,09	32,81	91,91	124,72
39,72	86,21	125,94	42,20	82,33	124,54
49,94	75,84	125,78	52,58	71,76	124,34
61,01	64,61	125,62	63,69	60,44	124,12
72,62	52,85	125,47	75,18	48,72	123,90
84,34	41,00	125,33	86,61	37,07	123,68
95,64	29,58	125,22	97,42	26,05	123,47
105,90	19,23	125,13	107,01	16,28	123,28
114,49	10,58	125,07	114,77	8,37	123,13
120,80	4,24	125,05	120,15	2,88	123,02
124,37	0,68	125,05	122,75	0,22	122,97
124,89	0,18	125,07	122,38	0,60	122,97
122,33	2,79	125,12	119,06	3,98	123,03
116,89	8,29	125,18	113,04	10,11	123,15
108,98	16,27	125,26	104,77	18,54	123,31
99,18	26,17	125,35	94,82	28,68	123,50
88,13	37,34	125,46	83,80	39,91	123,71
76,45	49,14	125,59	72,31	51,63	123,94
64,72	61,00	125,73	60,87	63,29	124,16
53,41	72,46	125,87	49,92	74,46	124,37
42,87	83,14	126,01	39,77	84,80	124,57
33,34	92,82	126,15	30,64	94,11	124,75
24,96	101,33	126,29	22,66	102,25	124,91
17,80	108,60	126,40	15,89	109,15	125,04
11,88	114,62	126,51	10,34	114,80	125,15
7,19	119,40	126,59	6,01	119,22	125,23
3,70	122,95	126,65	2,87	122,42	125,29
1,37	125,33	126,70	0,88	124,45	125,33
0,18	126,54	126,72	0,04	125,31	125,35
0,10	126,62	126,72	0,32	125,03	125,34
1,15	125,55	126,70	1,72	123,59	125,32
3,33	123,33	126,66	4,28	120,98	125,27
6,66	119,94	126,59	8,01	117,18	125,19
11,18	115,33	126,51	12,94	112,16	125,10
16,92	109,48	126,40	19,09	105,89	124,98
23,90	102,38	126,28	26,47	98,37	124,84
32,10	94,04	126,14	35,03	89,64	124,67
41,46	84,53	125,99	44,69	79,80	124,49
51,84	73,99	125,83	55,27	69,02	124,28
63,04	62,64	125,67	66,51	57,56	124,07
74,70	50,82	125,52	78,03	45,81	123,85
86,40	38,99	125,39	89,36	34,27	123,63
97,57	27,71	125,28	99,93	23,49	123,42
107,59	17,60	125,20	109,12	14,12	123,24
115,84	9,31	125,15	116,34	6,77	123,10
121,71	3,42	125,12	121,06	1,94	123,01
124,76	0,37	125,13	122,94	0,03	122,97
124,74	0,41	125,16	121,83	1,16	122,98
121,66	3,54	125,20	117,80	5,25	123,06
115,75	9,52	125,27	111,18	12,00	123,18
107,47	17,88	125,35	102,44	20,91	123,35
97,40	28,05	125,45	92,17	31,38	123,55
86,19	39,38	125,56	80,98	42,79	123,77
74,46	51,24	125,69	69,46	54,54	123,99
62,76	63,07	125,83	58,11	66,11	124,21
51,56	74,41	125,97	47,33	77,10	124,43
41,17	84,94	126,12	37,41	87,21	124,62
31,83	94,43	126,26	28,56	96,24	124,79
23,65	102,73	126,39	20,87	104,07	124,94
16,71	109,79	126,50	14,40	110,67	125,07
11,00	115,60	126,60	9,16	116,01	125,17
6,52	120,16	126,68	5,13	120,12	125,25
3,23	123,52	126,74	2,27	123,03	125,31
1,09	125,69	126,78	0,57	124,77	125,34
0,09	126,71	126,80	0,00	125,35	125,35
0,20	126,60	126,80	0,56	124,78	125,34
1,44	125,34	126,77	2,25	123,06	125,31
3,81	122,92	126,73	5,09	120,16	125,25
7,34	119,32	126,66	9,12	116,06	125,17
12,06	114,51	126,57	14,35	110,73	125,07
18,01	108,46	126,46	20,80	104,15	124,95
25,19	101,15	126,34	28,48	96,32	124,80
33,59	92,60	126,19	37,32	87,31	124,63
43,13	82,91	126,04	47,22	77,21	124,44
53,68	72,20	125,88	58,00	66,23	124,23
64,98	60,74	125,73	69,35	54,67	124,01
76,69	48,89	125,58	80,87	42,92	123,79
88,35	37,10	125,45	92,07	31,51	123,57
99,38	25,96	125,34	102,35	21,02	123,37
109,16	16,10	125,26	111,11	12,09	123,20
